package,so_tag_counts,so_question_count,forks,stars,downloads
basemap,552.0,1214.0,121,244,NA
bokeh,1036.0,1198.0,1260,5328,202652
csvkit,20.0,51.0,360,2491,241019
d3py,5.0,11.0,190,1164,NA
ggpy,0.0,0.0,399,2852,303503
ipython,4773.0,13671.0,3268,11040,9219641
jupyter,1346.0,3161.0,128,369,398702
jupyter-notebook,1917.0,4113.0,559,1877,NA
matplotlib,21080.0,24728.0,2279,4709,4041733
mlpy,0.0,36.0,NA,NA,6259
networkx,1447.0,1899.0,819,2662,3838384
nltk,3241.0,4175.0,1266,4262,2395089
numpy,31915.0,55381.0,1864,3823,13639317
pandas,35647.0,41472.0,3342,8317,5897234
pattern,0.0,204535.0,950,5109,302116
plotly,1254.0,83015.0,441,1822,494131
prettyplotlib,7.0,12.0,115,1175,50178
pybrain,321.0,375.0,662,2198,56723
pylearn2,0.0,62.0,952,2313,NA
pymc,359.0,417.0,134,467,202365
pytables,457.0,608.0,123,542,NA
scikit-learn,6707.0,7274.0,8968,16070,5224965
scipy,8574.0,12521.0,1641,2835,4955021
scrapy,6689.0,7274.0,4954,18025,1626722
seaborn,1021.0,1304.0,542,3656,414400
shogun,31.0,66.0,662,1275,NA
statsmodels,704.0,931.0,913,1831,611436
sympy,1337.0,1722.0,1787,3546,891636
tensorflow,6669.0,7027.0,20549,44062,35501
theano,1871.0,2252.0,1915,5533,608210
