"","Package","CRAN","Stack Overflow","GitHub"
"1","caret",1,3,3
"2","randomForest",3,4,NA
"3","e1071",2,7,NA
"4","rpart",7,5,NA
"5","nnet",4,9,NA
"6","glmnet",6,8,NA
"7","tree",13,2,NA
"8","party",10,6,NA
"9","arules",9,10,8
"10","kernlab",5,17,NA
"11","ROCR",8,16,NA
"12","gbm",14,11,NA
"13","RWeka",12,15,NA
"14","rattle",11,18,NA
"15","earth",18,13,NA
"16","h2o",20,14,1
"17","partykit",16,21,NA
"18","klaR",15,24,NA
"19","C50",21,22,NA
"20","lars",19,25,NA
"21","penalized",28,23,NA
"22","ipred",17,35,NA
"23","ranger",25,28,4
"24","mlr",34,20,2
"25","mboost",23,32,9
"26","Cubist",22,34,NA
"27","randomForestSRC",26,31,NA
"28","RSNNS",31,26,13
"29","stabs",32,27,12
"30","ElemStatLearn",33,29,NA
"31","pamr",24,38,NA
"32","bst",45,19,NA
"33","rda",53,12,NA
"34","rgenoud",29,36,NA
"35","elasticnet",30,36,NA
"36","CORElearn",27,40,NA
"37","hdi",39,30,NA
"38","Boruta",35,38,15
"39","tgp",37,37,NA
"40","maptree",36,41,NA
"41","GAMBoost",41,39,NA
"42","ncvreg",38,42,11
"43","evtree",43,39,NA
"44","CoxBoost",40,43,NA
"45","lasso2",42,41,NA
"46","LiblineaR",47,36,NA
"47","rminer",46,37,NA
"48","OneR",84,1,15
"49","sda",51,34,NA
"50","LogicReg",44,43,NA
"51","quantregForest",50,37,NA
"52","BayesTree",48,41,NA
"53","frbs",56,35,NA
"54","RPMM",49,43,NA
"55","grpreg",52,41,NA
"56","SuperLearner",54,40,5
"57","varSelRF",55,42,14
"58","Rborist",59,39,6
"59","glmpath",57,43,NA
"60","grplasso",58,42,NA
"61","hda",62,39,NA
"62","rgp",68,33,NA
"63","penalizedLDA",61,41,NA
"64","SIS",65,37,NA
"65","svmpath",60,42,NA
"66","gamboostLSS",63,43,15
"67","ahaz",64,43,NA
"68","rnn",73,34,7
"69","Rmalschains",66,43,NA
"70","FCNN4R",67,43,NA
"71","penalizedSVM",70,41,NA
"72","oblique.tree",69,43,NA
"73","bigRR",71,43,NA
"74","RoughSets",72,42,12
"75","biglasso",75,41,10
"76","relaxo",74,42,NA
"77","spa",86,30,NA
"78","vcrpart",76,42,NA
"79","hdm",77,42,NA
"80","REEMtree",78,43,NA
"81","bmrm",79,43,NA
"82","GMMBoost",80,42,NA
"83","LogicForest",81,43,NA
"84","RXshrink",82,43,NA
"85","rdetools",83,43,NA
"86","gmum.r",85,42,9
"87","evclass",87,43,NA
