"","package","mean_rank","CRAN","Github_star","SO_body_r_tag"
"1","caret",2.3,1,3,3
"2","randomForest",3.5,3,NA,4
"3","e1071",4.5,2,NA,7
"4","rpart",6,7,NA,5
"5","nnet",6.5,4,NA,9
"6","glmnet",7,6,NA,8
"7","tree",7.5,13,NA,2
"8","party",8,10,NA,6
"9","arules",9,9,8,10
"10","kernlab",11,5,NA,17
"11","h2o",11.7,20,1,14
"12","ROCR",12,8,NA,16
"13","gbm",12.5,14,NA,11
"14","RWeka",13.5,12,NA,15
"15","rattle",14.5,11,NA,18
"16","earth",15.5,18,NA,13
"17","partykit",18.5,16,NA,21
"18","mlr",18.7,34,2,20
"19","ranger",19,25,4,28
"20","klaR",19.5,15,NA,24
"21","mboost",21.3,23,9,32
"22","C50",21.5,21,NA,22
"23","lars",22,19,NA,25
"24","RSNNS",23.3,31,13,26
"25","stabs",23.7,32,12,27
"26","penalized",25.5,28,NA,23
"27","ipred",26,17,NA,35
"28","Cubist",28,22,NA,34
"29","randomForestSRC",28.5,26,NA,31
"30","Boruta",29.3,35,15,38
"31","ncvreg",30.3,38,11,42
"32","ElemStatLearn",31,33,NA,29
"33","pamr",31,24,NA,38
"34","bst",32,45,NA,19
"35","rda",32.5,53,NA,12
"36","rgenoud",32.5,29,NA,36
"37","elasticnet",33,30,NA,36
"38","SuperLearner",33,54,5,40
"39","OneR",33.3,84,15,1
"40","CORElearn",33.5,27,NA,40
"41","hdi",34.5,39,NA,30
"42","Rborist",34.7,59,6,39
"43","tgp",37,37,NA,37
"44","varSelRF",37,55,14,42
"45","rnn",38,73,7,34
"46","maptree",38.5,36,NA,41
"47","GAMBoost",40,41,NA,39
"48","gamboostLSS",40.3,63,15,43
"49","evtree",41,43,NA,39
"50","CoxBoost",41.5,40,NA,43
"51","lasso2",41.5,42,NA,41
"52","LiblineaR",41.5,47,NA,36
"53","rminer",41.5,46,NA,37
"54","biglasso",42,75,10,41
"55","RoughSets",42,72,12,42
"56","sda",42.5,51,NA,34
"57","LogicReg",43.5,44,NA,43
"58","quantregForest",43.5,50,NA,37
"59","BayesTree",44.5,48,NA,41
"60","gmum.r",45.3,85,9,42
"61","frbs",45.5,56,NA,35
"62","RPMM",46,49,NA,43
"63","grpreg",46.5,52,NA,41
"64","glmpath",50,57,NA,43
"65","grplasso",50,58,NA,42
"66","hda",50.5,62,NA,39
"67","rgp",50.5,68,NA,33
"68","penalizedLDA",51,61,NA,41
"69","SIS",51,65,NA,37
"70","svmpath",51,60,NA,42
"71","ahaz",53.5,64,NA,43
"72","Rmalschains",54.5,66,NA,43
"73","FCNN4R",55,67,NA,43
"74","penalizedSVM",55.5,70,NA,41
"75","oblique.tree",56,69,NA,43
"76","bigRR",57,71,NA,43
"77","relaxo",58,74,NA,42
"78","spa",58,86,NA,30
"79","vcrpart",59,76,NA,42
"80","hdm",59.5,77,NA,42
"81","REEMtree",60.5,78,NA,43
"82","bmrm",61,79,NA,43
"83","GMMBoost",61,80,NA,42
"84","LogicForest",62,81,NA,43
"85","RXshrink",62.5,82,NA,43
"86","rdetools",63,83,NA,43
"87","evclass",65,87,NA,43
